الخير,4327
عريض,3328
نمار,2730
شرق الرياض,2193
الجنادرية,1795
الرمال,1615
النرجس,1311
بدر,934
طويق,801
عكاظ,774
الملقا,761
لبن,737
قرطبة,709
المهدية,670
الياسمين,663
الزاهر,616
المصفاة,600
العلا,575
المونسية,560
الدار البيضاء,494
العزيزية,460
العريجاء,419
السويدي,405
المشرق,393
الصفاء,382
النسيم,376
النخبة,344
اليرموك,340
إشبيلية,333
العارض,317
الفاروق,301
النظيم,277
القيروان,271
النهضة,264
الندى,257
العليا,253
عرقة,251
منفوحة,250
الحزم,242
البيان,241
حطين,237
السليمانية,236
النفل,231
القادسية,222
البديعة,214
الريان,210
الشفاء,206
الربيع,201
الصحافة,197
الحاير,192
القدس,191
الدريهمية,177
الروضة,174
الغنامية,173
الربوة,167
الرابية,161
الملز,155
الخليج,151
العقيق,138
السلي,137
الملك فيصل,136
الشهداء,127
النخيل,123
الروابي,121
الراية,120
الاندلس,119
الحمراء,114
الزهرة,104
الجزيرة,99
الرحمانية,99
المصيف,98
الملك فهد,98
طيبة,97
ام الحمام,94
شبرا,92
السعادة,91
المربع,87
اليمامة,87
التعاون,86
المعيزلية,84
عتيقة,79
المعذر,78
الخالدية,77
الفرسان,77
المروج,77
الفلاح,76
المغرزات,74
الهدا,74
الورود,74
الرسالة,73
المناخ,73
النزهة,73
غبيراء,73
احد,66
الشعلة,64
المنار,64
غرناطة,64
السلام,61
الازدهار,59
المرسلات,58
المنصورة,58
الشميسي,56
الوادي,56
المروة,56
الملك عبدالله,56
الفيحاء,55
جرير,55
سلطانة,54
المحمدية,53
المشاعل,51
ام الحمام الغربي,50
الجرادية,50
ديراب,48
الامانة,47
سدرة,46
الضباط,45
الرفيعة,44
البرية,42
العود,40
المصانع,40
ثليم,39
الملك سلمان,38
الوزارات,38
الغدير,37
الشرق,36
الفيصلية,34
المرقب,33
الرائد,32
المدينة الصناعية الجديدة,31
الندوة,30
مطار الملك خالد الدولي,30
ام  سليم,29
الديرة,27
الشرفية,22
خنشليلة,22
الخزامى,21
الملك عبدالعزيز,21
الزهراء,20
الصناعية,20
العمل,19
دعكنة,18
عليشة,18
البطحاء,5
بنبان,4
الصالحية,4
النموذجية,3
القادسية,3
المؤتمرات,1
المنصورية,1
العريجاء,1
